Value: a, Type: IDENTIFIER, Line: 64
Value: :, Type: COLON, Line: 64
Value: vetor, Type: IDENTIFIER, Line: 64
Value: ), Type: RIGHT_PARENTHESIS, Line: 64
Value: :, Type: COLON, Line: 64
Value: integer, Type: INTEGER, Line: 64
Value: var, Type: VAR, Line: 65
Value: I, Type: IDENTIFIER, Line: 65
Value: ,, Type: COMMA, Line: 65
Value: result, Type: IDENTIFIER, Line: 65
Value: :, Type: COLON, Line: 65
Value: integer, Type: INTEGER, Line: 65
Value: ;, Type: SEMICOLON, Line: 65
Value: begin, Type: BEGIN, Line: 66
Value: i, Type: IDENTIFIER, Line: 67
Value: :, Type: COLON, Line: 67
Value: =, Type: EQUAL, Line: 67
Value: 0, Type: NUMBER, Line: 67
Value: ;, Type: SEMICOLON, Line: 67
Value: result, Type: IDENTIFIER, Line: 68
Value: :, Type: COLON, Line: 68
Value: =, Type: EQUAL, Line: 68
Value: a, Type: IDENTIFIER, Line: 68
Value: [, Type: LEFT_BRACKETS, Line: 68
Value: 0, Type: NUMBER, Line: 68
Value: ], Type: RIGHT_BRACKETS, Line: 68
Value: ;, Type: SEMICOLON, Line: 68
Value: while, Type: WHILE, Line: 69
Value: i, Type: IDENTIFIER, Line: 69
Value: <, Type: LESS, Line: 69
Value: 15, Type: NUMBER, Line: 69
Value: do, Type: DO, Line: 69
Value: begin, Type: BEGIN, Line: 70
Value: if, Type: IF, Line: 71
Value: a, Type: IDENTIFIER, Line: 71
Value: [, Type: LEFT_BRACKETS, Line: 71
Value: i, Type: IDENTIFIER, Line: 71
Value: ], Type: RIGHT_BRACKETS, Line: 71
Value: <, Type: LESS, Line: 71
Value: result, Type: IDENTIFIER, Line: 71
Value: then, Type: THEN, Line: 71
Value: :, Type: COLON, Line: 71
Value: result, Type: IDENTIFIER, Line: 71
Value: :, Type: COLON, Line: 71
Value: =, Type: EQUAL, Line: 71
Value: a, Type: IDENTIFIER, Line: 71
Value: [, Type: LEFT_BRACKETS, Line: 71
Value: i, Type: IDENTIFIER, Line: 71
Value: ], Type: RIGHT_BRACKETS, Line: 71
Value: ;, Type: SEMICOLON, Line: 71
Value: i, Type: IDENTIFIER, Line: 72
Value: :, Type: COLON, Line: 72
Value: =, Type: EQUAL, Line: 72
Value: i, Type: IDENTIFIER, Line: 72
Value: +, Type: PLUS, Line: 72
